Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
96080-005,1,22-Apr-97,ATIS Message Generation Prototype April 17th Demonstration - Meeting Notes (Letter to Valdur),DY,,96080 File,/cslt/docs/1996/96080/Letters/96080-005.doc,
96080-006,1,14-May-97,ATIS Message Generation Prototype Development - Requirements Traceability Matrix,WNE,,96080 File,/cslt/docs/1996/96080/rtm/rtm.doc,
96080-007,1,14-May-97,ATIS Message Generation Prototype Development - Acceptance Test Plan,WNE/BG,,96080 File,/cslt/docs/1996/96080/atp/0atp.bk,
96080-008,1,18-Jun-97,,,,,,
27-Jun-97,ATIS Message Generation Prototype Development - Final Report,BG/PTM,,96080 File,/cslt/docs/1996/96080/final-report/freport.book,,,
96080-009,1,23-Jun-97,Letter to V. Pille re: Final Project Deliverables,PTM,,96080 File,/cslt/docs/1996/96080/Letters/96080-009.doc,
,,,,,,,,
96082-001,1,16-Sep-96,Application Letter for Legacy Systems,BOR,,96082 File,/cslt/docs/1996/96082/application.doc,
,,,,,,,,
96084-001,1,18-Sep-96,Aquatic Chemistry & Biology Information System origanal RFP,RWT,,96084 File,/cslt/docs/1996/96084/ACBIS_rfp.pdf,
,,,,,,,,
96094-001,1,15-Oct-96,Quoatation letter for HRDC St. John’s (Internet Access),RWT,,96094 File,/cslt/docs/1996/96094/proposal.doc,
,,,,,,,,
96106-001,1,30-Oct-96,CIDAS Supplier Interface to CEONet - Proposal,BOR,,96106 File,/cslt/docs/1996/96106/proposal/rev_1/report.bk,
96106-001,2,05-Feb-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - Proposal,BOR,,96106 File,/cslt/docs/1996/96106/proposal/rev_2/proposal.bk,
96106-002,1,25-Feb-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - Project Plan,WNE,,96106 File,/cslt/docs/1996/96106/pplan/pplan.bk,
96106-003,1,25-Feb-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - QA Plan,WNE,,96106 File,/cslt/docs/1996/96106qaplan/qaplan.bk,
96106-004,1,21-Mar-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - System Requirements Specification,WNE/BOR,,96106 File,/cslt/docs/1996/96106/srs/srs.bk,
96106-005,1,25-Mar-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - Requirements Traceability Matrix,WNE,,96106 File,/cslt/docs/1996/96106/rtm/rtm.doc,
96106-006,1,04-Apr-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - High-Level Design Document,BOR,,96106 File,/cslt/docs/1996/96106/hldd/hldd.bk,
96106-007,1,09-May-97,FDGC and Z39.50 Compliance for CIDAS Systems (FZCCS) - System Management and Maintenance Manual,BOR,,96106 File,/cslt/docs/1996/96106/smmm/smmm.bk,
96106-008,1,20-Oct-97,FDGC Metadata Toolkit - Draft Acceptance test Plan,WNE/BOR,,96106 File,/cslt/docs/1996/96106/atp/atp.bk,
96106-008,1,30-Oct-97,FDGC Metadata Toolkit - Acceptance test Plan,WNE/BOR,,96106 File,/cslt/docs/1996/96106/atp/atp.bk,
96106-009,1,12-May-97,Revised Project Plan.,BOR,,96106 File,/cslt/docs/1996/96106/pplan2/pplan.bk,
96106-010,1,21-Oct-97,FGDC Metadata Toolkit User’s Manual,BOR,,96106 File,/cslt/docs/1996/96106/users_manual/man.bk,
96106-010,2,27-Feb-98,FGDC Metadata Toolkit User’s Manual,BOR,,96106 File,/cslt/docs/1996/96106/users_manual/new_format/metaman.bk,
,,,,,,,,
Also in:,,,,,,,,
/cslt/docs/1996/96106/users_manual/help_format/metaman.bk,,,,,,,,
,,,,,,,,
Also in:,,,,,,,,
